review_text,rating,product_id
This laptop is amazing! The battery life is incredible and the display is crystal clear.,5,TECH001
Decent product but overpriced. Build quality could be better.,3,TECH001
Terrible experience. Stopped working after two weeks.,1,TECH001
"Great phone, fast charging and amazing camera quality!",5,TECH002
Good but not great. The camera is excellent but battery life is mediocre.,4,TECH002
Love the design and features. Worth every penny!,5,TECH003
Average performance for the price. Nothing special.,3,TECH003
The screen is fantastic but the speakers are disappointing.,4,TECH004
Perfect for my needs. Fast processing and sleek design.,5,TECH004
"The battery lasts all day, but the camera is terrible.",3,TECH001
"Absolutely love the display quality, but the speakers sound muffled.",4,TECH002
"The phone overheats constantly, and the battery drains too fast.",2,TECH003
Fantastic sound quality! The bass is deep and powerful.,5,TECH004
"Delivery took forever, but the product itself works well.",3,TECH005
"The keyboard is comfortable, but the trackpad is unresponsive.",2,TECH006
The price is way too high for what you get. Not worth it.,1,TECH007
"Super fast performance, and the battery life is solid.",5,TECH008
"The camera takes crystal-clear pictures, but low-light performance is awful.",3,TECH009
Customer service was extremely helpful when I had an issue.,4,TECH010
"The smartwatch is great, but the straps feel cheap.",3,TECH011
"The laptop's battery is disappointing, but the display is sharp and vivid.",3,TECH012
"The delivery was quick, and setup was easy!",5,TECH013
"The software crashes often, making it frustrating to use.",2,TECH014
Extremely lightweight and portable. Great for travel!,5,TECH015
"Setup was confusing, and instructions were unclear.",2,TECH016
Customer service was unresponsive. Very disappointing.,1,TECH017
The wireless charging feature is a game changer!,5,TECH018
"The build quality feels cheap, but the sound is decent.",3,TECH019
"The processor is lightning fast, but it heats up a lot.",4,TECH020
"The battery lasts forever, even with heavy use.",5,TECH001
The camera struggles to focus in low light.,2,TECH002
"The headphones are great, but the noise cancellation is weak.",3,TECH003
The tablet's screen resolution is stunning!,5,TECH004
"Customer support was friendly, but they took too long to respond.",3,TECH005
The smartwatch syncs perfectly with my phone.,5,TECH011
"The laptop has a beautiful design, but it scratches easily.",4,TECH012
The delivery was delayed by two weeks. Very frustrating.,1,TECH013
"The phone speaker quality is poor, but call clarity is decent.",2,TECH014
The software updates keep making the device slower.,2,TECH015
The fitness tracker accurately tracks my workouts.,5,TECH016
The printer jams every other time I use it.,1,TECH017
The wireless earbuds fit perfectly and sound amazing!,5,TECH018
"The tablet is lightweight, but battery life could be better.",3,TECH019
"The Bluetooth connection drops frequently, making it unusable.",1,TECH020
The noise cancellation on these headphones is outstanding!,5,TECH004
"The gaming laptop runs smoothly, but the fan is loud.",4,TECH005
"The camera produces vibrant colors, but videos are grainy.",3,TECH009
The power button feels cheap and gets stuck sometimes.,2,TECH010
The smartwatch has excellent features but is overpriced.,3,TECH011
The laptop fan gets very noisy under heavy load.,3,TECH012
"The earbuds are comfortable, but they fall out during workouts.",3,TECH018
"The wireless charger works well, but it's slow.",3,TECH019
"The smart TV has a fantastic display, but the OS is sluggish.",4,TECH020
The battery barely lasts a few hours. Not worth it.,1,TECH001
"The gaming mouse is responsive, but the side buttons feel flimsy.",3,TECH002
The keyboard is backlit and feels great to type on.,5,TECH006
The phone gets really hot while charging.,2,TECH003
"The VR headset is incredible, but the comfort level is poor.",4,TECH007
The customer service rep was rude and unhelpful.,1,TECH010
"The wireless earbuds have no lag, perfect for gaming!",5,TECH018
The microphone quality is awful. Not usable for calls.,1,TECH019
"The screen is vibrant, and the refresh rate is amazing!",5,TECH020
"The laptop crashes frequently, making it unreliable.",2,TECH012
The tablet's stylus works perfectly for note-taking!,5,TECH004
"The phone's battery is decent, but charging takes forever.",3,TECH001
The smartwatch feels premium but lacks important health tracking features.,3,TECH011
"The soundbar produces deep bass, but dialogue clarity is poor.",3,TECH019
"The fitness tracker is great, but the app is buggy.",3,TECH016
The laptop runs hot but is extremely fast.,4,TECH012
The noise cancellation on these headphones is life-changing!,5,TECH004
The smart home speaker has a great assistant but weak audio.,3,TECH005
"The router setup was confusing, but speed is excellent.",4,TECH006
The drone camera captures stunning footage!,5,TECH009
The tablet freezes often and requires frequent restarts.,2,TECH019
The monitor's color accuracy is spot on for designers!,5,TECH020
The mouse is ergonomic but has a short battery life.,3,TECH002
"The gaming console is fantastic, but the controller feels cheap.",3,TECH007
"The webcam quality is poor, but the microphone is decent.",2,TECH010
The smartwatch battery drains too quickly to be useful.,2,TECH011
"The battery life is excellent, but the software updates are buggy.",4,TECH021
"Great sound quality, but the earbuds disconnect randomly.",3,TECH022
The camera is fantastic in daylight but struggles at night.,4,TECH023
The laptop overheats way too quickly.,2,TECH024
Delivery was incredibly fast!,5,TECH025
"The smartwatch interface is intuitive, but the battery drains fast.",3,TECH026
Price is way too high for the features it offers.,2,TECH027
The fitness tracker syncs seamlessly with my phone.,5,TECH028
Speaker volume is too low even at maximum setting.,2,TECH029
The tablet's screen resolution is really nice and clear,5,TECH030
The phone has a nice design but is fragile.,3,TECH031
Customer service was quick and very helpful!,5,TECH032
The gaming console is powerful but has limited game options.,4,TECH033
